col_0,col_1,col_2,col_3
-2.0381231,-1.1941652,4.1434183,
-2.0362186,-1.1976727,4.155588,
-2.0342422,-1.2011651,4.1677055,
-2.03153,-1.2042484,4.1784043,
-2.0281198,-1.2069408,4.1877456,
-2.0241652,-1.2093288,4.1960316,
-2.0197737,-1.211474,4.2034745,
-2.0149791,-1.2133933,4.210134,
-2.0096862,-1.2150265,4.215801,
-2.004118,-1.2165056,4.2209334,
-1.9982914,-1.2178394,4.2255607,
-1.9920534,-1.218932,4.229352,
-1.9853287,-1.2197344,4.2321362,
-1.9783136,-1.2203645,4.234322,
-1.971029,-1.2208325,4.235946,
-1.9635069,-1.2211567,4.237071,
-1.9557061,-1.2213097,4.2376018,
-1.9476404,-1.2212975,4.23756,
-1.9393536,-1.2211463,4.237035,
-1.9308653,-1.2208663,4.2360635,
-1.9222045,-1.2204746,4.234704,
-1.9133985,-1.2199868,4.2330117,
-1.9044781,-1.2194216,4.231051,
-1.895486,-1.2188058,4.228914,
-1.886451,-1.2181568,4.226662,
-1.8774215,-1.2175059,4.224404,
-1.8684182,-1.2168665,4.222185,
-1.8594913,-1.2162716,4.220121,
-1.8506708,-1.2157414,4.2182813,
-1.8419667,-1.2152833,4.216692,
-1.833387,-1.2149037,4.215375,
-1.8249521,-1.2146171,4.2143807,
-1.8166635,-1.2144259,4.213717,
-1.8085384,-1.2143427,4.2134285,
-1.8005431,-1.2143463,4.213441,
-1.792695,-1.2144498,4.2138,
-1.7849925,-1.2146531,4.214505,
-1.7774229,-1.2149493,4.215533,
-1.7699724,-1.2153298,4.216853,
-1.7626817,-1.215824,4.218568,
-1.7555115,-1.2164061,4.2205877,
-1.7484719,-1.2170846,4.222942,
-1.7415736,-1.2178681,4.2256603,
-1.7348063,-1.2187508,4.2287235,
-1.728164,-1.21973,4.232121,
-1.7216783,-1.2208295,4.2359357,
-1.7153214,-1.2220311,4.2401047,
-1.7090899,-1.2233335,4.244624,
-1.7029879,-1.2247417,4.24951,
-1.6970161,-1.2262572,4.2547684,
-1.691167,-1.2278764,4.2603865,
-1.6854359,-1.2295973,4.2663574,
-1.6798079,-1.2314103,4.272648,
-1.6742462,-1.2332897,4.279169,
-1.6687254,-1.2352177,4.2858586,
-1.6631755,-1.2371429,4.2925386,
-1.657579,-1.2390524,4.2991643,
-1.6519018,-1.2409202,4.3056445,
-1.6460905,-1.2427052,4.311838,
-1.6400859,-1.2443615,4.317585,
-1.6339015,-1.2458972,4.3229136,
-1.6275089,-1.247289,4.3277426,
-1.6208782,-1.2485114,4.331984,
-1.6140132,-1.2495649,4.3356395,
-1.6069099,-1.2504437,4.338689,
-1.5995655,-1.2511432,4.3411155,
-1.5919995,-1.2516755,4.3429627,
-1.5842358,-1.2520571,4.344287,
-1.5762736,-1.2522852,4.345078,
-1.5681415,-1.2523799,4.3454065,
-1.55987,-1.2523637,4.3453503,
-1.5514615,-1.2522366,4.3449097,
-1.5429356,-1.2520131,4.344134,
-1.5343447,-1.2517339,4.3431654,
-1.5256709,-1.251384,4.3419514,
-1.5169413,-1.2509842,4.340564,
-1.5081675,-1.2505432,4.339034,
-1.4993595,-1.250069,4.3373885,
-1.490514,-1.2495581,4.3356156,
-1.4816622,-1.2490361,4.3338046,
-1.4727919,-1.2484927,4.331919,
-1.4638988,-1.2479237,4.329945,
-1.4550124,-1.2473541,4.3279686,
-1.4461199,-1.2467728,4.3259516,
-1.4372244,-1.2461821,4.323902,
-1.428324,-1.2455804,4.3218145,
-1.4194381,-1.2449845,4.319747,
-1.4105438,-1.2443743,4.3176293,
-1.4016494,-1.2437568,4.315487,
-1.3927448,-1.243123,4.3132877,
-1.383841,-1.2424824,4.311065,
-1.3749497,-1.2418455,4.308855,
-1.3660692,-1.2412107,4.3066525,
-1.3572083,-1.240586,4.3044853,
-1.3483552,-1.2399614,4.3023176,
-1.3395108,-1.2393367,4.300151,
-1.3306842,-1.2387213,4.298015,
-1.3218668,-1.2381066,4.2958827,
-1.3130609,-1.2374953,4.2937613,
-1.3042763,-1.2368966,4.291684,
-1.2955084,-1.2363063,4.2896357,
-1.2867486,-1.2357161,4.287588,
-1.2780038,-1.2351332,4.2855654,
-1.2692678,-1.2345512,4.283546,
-1.260547,-1.2339766,4.2815523,
-1.2518392,-1.2334071,4.279577,
-1.243149,-1.2328482,4.277637,
-1.2344686,-1.2322912,4.2757044,
-1.2257986,-1.2317374,4.273783,
-1.2171571,-1.2312052,4.2719364,
-1.208533,-1.2306834,4.2701263,
-1.1999289,-1.2301751,4.2683625,
-1.1913432,-1.2296791,4.266641,
-1.1827815,-1.229201,4.264982,
-1.1742455,-1.2287431,4.263394,
-1.1657385,-1.2283095,4.2618895,
-1.157264,-1.2279046,4.260484,
-1.1488146,-1.2275206,4.259152,
-1.1403928,-1.2271608,4.2579036,
-1.1320007,-1.2268281,4.256749,
-1.1236246,-1.2265081,4.255639,
-1.1152688,-1.2262061,4.2545905,
-1.1069313,-1.2259194,4.2535963,
-1.0986149,-1.2256522,4.2526693,
-1.0903139,-1.2253984,4.2517886,
-1.0820321,-1.2251626,4.2509704,
-1.0737704,-1.2249461,4.2502193,
-1.0655413,-1.2247639,4.249587,
-1.0573344,-1.2246047,4.2490344,
-1.0491629,-1.2244841,4.248616,
-1.0410206,-1.2243962,4.248311,
-1.0329038,-1.224337,4.2481055,
-1.0248156,-1.2243111,4.248016,
-1.0167514,-1.2243136,4.248025,
-1.0087135,-1.2243482,4.2481446,
-1.0006992,-1.2244123,4.248367,
-0.9927094,-1.2245075,4.2486973,
-0.9847393,-1.2246287,4.249118,
-0.97679967,-1.2247903,4.2496786,
-0.96887594,-1.2249746,4.250318,
-0.9609746,-1.2251905,4.251067,
-0.9530992,-1.2254435,4.251945,
-0.9452351,-1.2257154,4.2528887,
-0.9373876,-1.2260139,4.253924,
-0.92955184,-1.2263328,4.2550306,
-0.92172444,-1.2266686,4.2561955,
-0.91390985,-1.2270274,4.2574406,
-0.9061138,-1.2274178,4.2587953,
-0.8983267,-1.2278275,4.2602167,
-0.89054966,-1.2282585,4.261712,
-0.88277984,-1.2287074,4.26327,
-0.87500584,-1.2291588,4.264836,
-0.8672342,-1.2296219,4.266443,
-0.85946727,-1.2301005,4.2681036,
-0.85170084,-1.230589,4.2697983,
-0.8439378,-1.2310917,4.271543,
-0.8361732,-1.231602,4.273313,
-0.8284248,-1.2321464,4.2752023,
-0.82069874,-1.232735,4.2772446,
-0.8129931,-1.2333665,4.2794356,
-0.8053162,-1.2340547,4.281823,
-0.79764,-1.234758,4.2842636,
-0.7899779,-1.235498,4.286831,
-0.7823142,-1.2362505,4.2894425,
-0.7746557,-1.2370276,4.2921386,
-0.7671055,-1.2379959,4.295498,
-0.7595003,-1.238895,4.2986183,
-0.7519061,-1.2398322,4.3018694,
-0.7443274,-1.2408154,4.305281,
-0.73681813,-1.2419378,4.3091755,
-0.7294922,-1.2433977,4.314241,
-0.72202283,-1.2446436,4.318564,
-0.7146854,-1.246148,4.323784,
-0.7076633,-1.2482438,4.3310556,
-0.70031506,-1.2498068,4.3364787,
-0.69320136,-1.2518306,4.3435006,
-0.68636256,-1.2544054,4.3524346,
-0.68039244,-1.2586501,4.367162,
-0.67382663,-1.2618836,4.378382,
-0.6689555,-1.2684115,4.401032,
-0.6633858,-1.2737633,4.419601,
-0.6591487,-1.2818437,4.4476376,
-0.6550163,-1.2903401,4.4771175,
-0.6529913,-1.3032657,4.5219665,
-0.64975613,-1.3140886,4.559519,
-0.64531,-1.3227215,4.5894723,
-0.6383742,-1.3264178,4.602298,
-0.6303512,-1.3279262,4.607531,
-0.61996585,-1.3244306,4.5954022,
-0.61197835,-1.3260307,4.6009545,
-0.60815454,-1.3368298,4.638424,
-0.6048612,-1.3491294,4.6811004,
-0.59722143,-1.3519567,4.6909103,
-0.59366107,-1.364244,4.733544,
-0.5911076,-1.3792589,4.785641,
-0.5921386,-1.4032366,4.8688374,
-0.5988251,-1.4415903,5.0019135,
-0.5899264,-1.4430561,5.0069995,
-0.5831538,-1.4498556,5.030592,
-0.53977317,-1.3643501,4.733912,
-0.47418478,-1.2188646,4.229118,
-0.43979108,-1.1499319,3.9899411,
-0.44579172,-1.1860543,4.1152754,
-0.44765455,-1.2122601,4.2062025,
-0.4551085,-1.254834,4.353922,
-0.46422312,-1.303647,4.523289,
-0.4780097,-1.3676674,4.7454224,
-0.48497167,-1.4142466,4.9070387,
-0.4890809,-1.4541687,5.045557,
-0.4804366,-1.4570086,5.055411,
-0.47157952,-1.4593058,5.0633817,
-0.46253753,-1.4611148,5.069658,
-0.45309335,-1.4617031,5.071699,
-0.44328004,-1.4611001,5.0696073,
-0.43350834,-1.4606107,5.0679092,
-0.42373055,-1.460078,5.066061,
-0.4139387,-1.4594711,5.063955,
-0.404136,-1.4587961,5.061613,
-2.0308425,-1.1820599,4.1286173,
-2.028948,-1.1855335,4.14075,
-2.027353,-1.1892102,4.153591,
-2.025219,-1.192598,4.165424,
-2.02224,-1.1955127,4.1756043,
-2.0186226,-1.1980717,4.1845427,
-2.0143304,-1.2002486,4.192146,
-2.0098054,-1.2023039,4.199324,
-2.004736,-1.2040482,4.2054167,
-1.9994915,-1.205701,4.2111893,
-1.9939251,-1.2071723,4.216328,
-1.9879391,-1.2084001,4.220617,
-1.981431,-1.2093195,4.223828,
-1.97463,-1.2100667,4.2264376,
-1.9675452,-1.2106454,4.2284594,
-1.9601791,-1.211055,4.22989,
-1.952556,-1.2113088,4.2307763,
-1.94464,-1.2113822,4.231032,
-1.936488,-1.2113084,4.2307744,
-1.9281143,-1.2110947,4.230028,
-1.9195567,-1.2107633,4.228871,
-1.9108466,-1.2103325,4.227366,
-1.9020134,-1.2098198,4.2255754,
-1.8931044,-1.2092544,4.2236004,
-1.8841442,-1.2086513,4.2214937,
-1.8751835,-1.2080426,4.219368,
-1.8662512,-1.2074472,4.2172885,
-1.8573941,-1.2068955,4.215361,
-1.8486367,-1.206404,4.213645,
-1.8399984,-1.2059864,4.212186,
-1.8314825,-1.2056457,4.210996,
-1.8231093,-1.2053963,4.210125,
-1.814879,-1.2052397,4.209578,
-1.8068075,-1.2051874,4.209396,
-1.7988716,-1.2052258,4.20953,
-1.7910811,-1.2053622,4.210006,
-1.7834371,-1.205599,4.210833,
-1.7759287,-1.2059299,4.211989,
-1.7685443,-1.2063484,4.2134504,
-1.7613175,-1.2068787,4.2153025,
-1.7542121,-1.2074975,4.217464,
-1.7472323,-1.2082087,4.219948,
-1.7404002,-1.209029,4.222813,
-1.7336969,-1.209947,4.2260194,
-1.7271153,-1.2109586,4.2295527,
-1.7206872,-1.212088,4.233497,
-1.7144005,-1.2133279,4.2378283,
-1.7082341,-1.2146652,4.242499,
-1.7021992,-1.216109,4.247542,
-1.696302,-1.2176656,4.2529783,
-1.6905271,-1.219325,4.2587743,
-1.684863,-1.2210808,4.264907,
-1.6792965,-1.2229246,4.271347,
-1.6737949,-1.224834,4.2780156,
-1.6683223,-1.226783,4.2848234,
-1.6628251,-1.2287332,4.2916346,
-1.6572695,-1.2306591,4.2983613,
-1.6516317,-1.2325428,4.3049407,
-1.6458578,-1.2343432,4.3112288,
-1.6398822,-1.2360094,4.3170485,
-1.6337223,-1.237553,4.3224397,
-1.6273572,-1.2389557,4.327339,
-1.6207507,-1.2401879,4.331643,
-1.6139009,-1.2412457,4.3353376,
-1.6068102,-1.2421283,4.33842,
-1.5994729,-1.242828,4.340864,
-1.591915,-1.2433629,4.3427324,
-1.5841565,-1.2437457,4.3440695,
-1.5762002,-1.2439766,4.344876,
-1.5680741,-1.2440751,4.3452196,
-1.5598104,-1.2440649,4.3451843,
-1.5514002,-1.2439371,4.344738,
-1.5428807,-1.2437199,4.3439794,
-1.5342915,-1.243444,4.343015,
-1.5256157,-1.2430942,4.341794,
-1.5168868,-1.2426975,4.340408,
-1.5081124,-1.2422588,4.338876,
-1.4993074,-1.2417898,4.337238,
-1.4904606,-1.2412808,4.33546,
-1.4816117,-1.2407646,4.3336573,
-1.472745,-1.2402276,4.3317814,
-1.4638526,-1.2396628,4.3298087,
-1.4549623,-1.2390932,4.3278193,
-1.4460721,-1.2385175,4.3258085,
-1.4371734,-1.2379277,4.3237486,
-1.4282744,-1.2373309,4.3216643,
-1.4193903,-1.2367404,4.3196015,
-1.4104968,-1.2361346,4.317486,
-1.4016031,-1.2355217,4.315345,
-1.392698,-1.2348912,4.313143,
-1.3837887,-1.2342496,4.310902,
-1.3748978,-1.2336171,4.3086925,
-1.3660188,-1.2329875,4.3064938,
-1.3571618,-1.2323703,4.304338,
-1.348316,-1.231756,4.302192,
-1.3394728,-1.2311364,4.300029,
-1.3306462,-1.2305248,4.297892,
-1.3218323,-1.2299174,4.2957706,
-1.3130276,-1.2293109,4.2936525,
-1.3042439,-1.2287169,4.2915773,
-1.2954782,-1.2281322,4.2895355,
-1.286719,-1.2275463,4.2874894,
-1.277976,-1.2269688,4.285472,
-1.269242,-1.2263925,4.283459,
-1.260524,-1.2258241,4.281474,
-1.251819,-1.2252611,4.2795076,
-1.243133,-1.2247095,4.277581,
-1.234456,-1.2241596,4.2756605,
-1.2257851,-1.2236086,4.273736,
-1.2171458,-1.2230822,4.271897,
-1.2085283,-1.2225703,4.2701097,
-1.1999296,-1.2220708,4.268365,
-1.1913486,-1.2215828,4.26666,
-1.1827871,-1.2211081,4.2650023,
-1.1742572,-1.2206597,4.2634363,
-1.1657515,-1.2202306,4.2619376,
-1.1572801,-1.2198315,4.2605433,
-1.1488335,-1.2194532,4.259222,
-1.1404164,-1.219101,4.257992,
-1.1320249,-1.2187712,4.25684,
-1.1236537,-1.2184589,4.255749,
-1.1153028,-1.2181642,4.2547197,
-1.106969,-1.217884,4.2537413,
-1.0986551,-1.2176216,4.252825,
-1.0903573,-1.2173734,4.251958,
-1.0820769,-1.217141,4.2511463,
-1.0738176,-1.2169292,4.2504063,
-1.0655931,-1.2167537,4.2497935,
-1.0573915,-1.216602,4.249264,
-1.049224,-1.2164875,4.2488637,
-1.0410879,-1.2164079,4.2485857,
-1.0329747,-1.216354,4.2483974,
-1.0248903,-1.2163334,4.2483253,
-1.0168363,-1.2163489,4.2483797,
-1.0088072,-1.2163947,4.2485394,
-1.000797,-1.216464,4.248782,
-0.9928151,-1.2165694,4.24915,
-0.9848523,-1.2167,4.2496057,
-0.9769247,-1.2168765,4.2502227,
-0.9690099,-1.2170721,4.2509055,
-0.96111834,-1.2173005,4.2517033,
-0.953257,-1.2175714,4.2526493,
-0.94540477,-1.2178584,4.253652,
-0.9375713,-1.2181749,4.2547574,
-0.9297502,-1.218513,4.2559385,
-0.9219358,-1.2188661,4.2571716,
-0.9141332,-1.219241,4.258481,
-0.90634954,-1.2196482,4.2599034,
-0.89857244,-1.2200716,4.261382,
-0.8908043,-1.220515,4.262931,
-0.8830437,-1.2209768,4.264544,
-0.8752774,-1.2214394,4.2661595,
-0.8675109,-1.2219104,4.267804,
-0.8597501,-1.2223982,4.269508,
-0.851985,-1.2228891,4.2712226,
-0.8442196,-1.2233891,4.2729692,
