col_0,col_1,col_2,col_3
-2.1853874,-1.1209929,3.9679592,
-2.1844232,-1.1243749,3.9799302,
-2.18922,-1.1307558,4.0025167,
-2.1946669,-1.1375184,4.026454,-3.0230262e+38
-2.200653,-1.1446085,4.051551,-2.7161049e+38
-2.2049668,-1.1508756,4.0737343,-2.5025427e+38
-2.204952,-1.1549195,4.0880485,-2.4091318e+38
-2.1995304,-1.15615,4.092404,-2.4625095e+38
-2.1937623,-1.1572064,4.0961437,-2.449165e+38
-2.1876369,-1.1580812,4.09924,-2.4625095e+38
-2.1813095,-1.1588551,4.1019793,-2.4625095e+38
-2.1751394,-1.1597182,4.1050344,-2.475906e+38
-2.1691778,-1.1606992,4.108507,-2.5025948e+38
-2.1623595,-1.161227,4.1103754,-2.4893021e+38
-2.1627748,-1.1656576,4.126058,-2.6227462e+38
-2.1681883,-1.1728239,4.1514244,-2.7962754e+38
-2.1810982,-1.1841123,4.191382,-3.0498193e+38
-2.1973338,-1.1972954,4.238046,-3.3433962e+38
-2.1962445,-1.2011007,4.2515154,
-2.188109,-1.2010664,4.251394,
-2.170086,-1.1955844,4.2319894,-3.2901222e+38
-2.1590924,-1.1939489,4.2262,-3.2901744e+38
-2.107508,-1.1697712,4.140619,-3.1167494e+38
-1.9842309,-1.1054705,3.913015,-2.8098283e+38
-1.9215666,-1.0745825,3.803681,-2.7430545e+38
-1.9538867,-1.0967791,3.8822498,-2.9566693e+38
-2.0085523,-1.1317345,4.005981,-3.1435433e+38
-2.0409515,-1.1543617,4.0860744,-3.263695e+38
-1.9883294,-1.1288904,3.9959137,-3.2770916e+38
-1.7844118,-1.0169954,3.599841,-3.0636334e+38
-1.6084957,-0.92026025,3.2574294,-2.8502272e+38
-1.4934111,-0.8577158,3.0360417,-2.703439e+38
-1.4050901,-0.81011736,2.8675585,-2.5833916e+38
-1.3667603,-0.79108363,2.800185,-2.5433586e+38
-1.3702408,-0.7961956,2.81828,-2.5700997e+38
-1.3935236,-0.8128991,2.877405,-2.6635108e+38
-1.4169683,-0.8298291,2.9373317,-2.7435255e+38
-1.4051815,-0.8261783,2.924409,-2.7167848e+38
-1.3962169,-0.82416445,2.9172807,-2.7167846e+38
-1.359679,-0.80579376,2.8522542,-2.6367704e+38
-1.3220164,-0.7866068,2.7843385,-2.5301716e+38
-1.3123112,-0.7839674,2.7749958,-2.5435681e+38
-1.3233835,-0.7937692,2.809691,-2.6103942e+38
-1.355778,-0.8164911,2.8901196,-2.7972159e+38
-1.4275082,-0.8631834,3.0553951,-3.0374677e+38
