col_0,col_1,col_2,col_3
-2.8876958,-0.9553494,2.4214048,-2.5029623e+38
-2.8992836,-0.9607128,2.4349988,-2.5163586e+38
-2.9234977,-0.9702838,2.4592571,-2.5563917e+38
-2.9353044,-0.975761,2.4731395,-2.5830805e+38
-2.9467752,-0.98114383,2.4867828,-2.5964768e+38
-2.942766,-0.9813814,2.487385,-2.5831324e+38
-2.9354515,-0.9805159,2.4851913,-2.5564957e+38
-2.9269993,-0.9792669,2.4820256,-2.529859e+38
-2.9209812,-0.9788296,2.4809172,-2.5165667e+38
-2.8970244,-0.97236985,2.4645445,-2.463241e+38
-2.8998494,-0.9748928,2.4709392,-2.4899299e+38
-2.968359,-0.99954206,2.5334146,-2.6367704e+38
-3.0271106,-1.0209804,2.5877514,-2.7702666e+38
-3.0843408,-1.0419743,2.6409621,-2.8770219e+38
-3.1585343,-1.0687766,2.7088945,-2.9971215e+38
-3.2264524,-1.0935394,2.7716577,-3.1439621e+38
-3.2333348,-1.0976624,2.782108,-3.1573586e+38
-3.2137682,-1.0928055,2.7697978,-3.130722e+38
-3.2154574,-1.0951722,2.7757962,-3.1307743e+38
-3.2284513,-1.1014032,2.7915893,-3.1575676e+38
-3.2472906,-1.1096523,2.8124971,-3.2509784e+38
-3.292659,-1.127009,2.856489,
-3.323647,-1.1394926,2.8881297,
-3.312978,-1.137712,2.8836167,
-3.3007398,-1.1353859,2.8777208,
-3.2933416,-1.1347196,2.876032,
-3.2886398,-1.1349816,2.876696,
-3.2853055,-1.1357174,2.878561,
-3.2814825,-1.1362861,2.8800027,
-3.2784142,-1.1371189,2.8821132,
-3.273724,-1.1373906,2.8828022,
-3.2676651,-1.1371871,2.8822863,
-3.2619839,-1.1371145,2.8821023,
-3.256625,-1.1371542,2.8822029,
-3.251233,-1.1371826,2.8822749,
-3.2455626,-1.1371135,2.8820994,
-3.240045,-1.1370977,2.8820596,
-3.234559,-1.1370931,2.8820477,
-3.229029,-1.1370727,2.8819962,
-3.2236016,-1.1370887,2.8820367,
-3.2182593,-1.1371347,2.8821533,
-3.2130682,-1.1372343,2.882406,
-3.2078824,-1.1373363,2.8826642,
-3.2027237,-1.1374482,2.882948,
-3.1975596,-1.1375585,2.8832276,
-3.1923683,-1.1376595,2.8834836,
-3.1871853,-1.1377639,2.883748,
-3.181943,-1.1378473,2.8839595,
-3.1767564,-1.1379511,2.8842227,
-3.171756,-1.1381221,2.884656,
-3.1667645,-1.1382967,2.8850987,
-3.1615942,-1.1384077,2.8853798,
-3.1565487,-1.138564,2.885776,
-3.1516025,-1.1387568,2.8862646,
-3.1465545,-1.1389133,2.8866615,
-3.1414404,-1.1390465,2.8869991,
-3.1361985,-1.1391337,2.88722,
-3.1309524,-1.1392198,2.887438,
-3.1259358,-1.1393896,2.8878686,
-3.1209126,-1.1395577,2.8882947,
-3.1157556,-1.1396775,2.8885984,
-3.1105988,-1.1397978,2.8889034,
-3.1054544,-1.1399231,2.8892207,
-3.1004722,-1.1401083,2.8896902,
-3.095628,-1.1403452,2.8902907,
-3.0911145,-1.140705,2.8912024,
-3.0864496,-1.1410099,2.8919754,
-3.081703,-1.1412858,2.8926744,
-3.0769944,-1.1415766,2.8934119,
-3.072374,-1.1419015,2.8942351,
-3.0678997,-1.1422819,2.895199,
-3.0638032,-1.1428043,2.8965235,
-3.0597484,-1.1433444,2.8978922,
-3.0555913,-1.1438481,2.899169,
-3.0511606,-1.144251,2.90019,
-3.0464754,-1.1445599,2.9009728,
