col_0,col_1,col_2,col_3
0.77953666,-0.30531645,1.0063213,
0.81947374,-0.32017353,1.0552902,
0.8725947,-0.34009662,1.1209565,
0.94149095,-0.3660562,1.2065192,
1.0289522,-0.39909047,1.3154,
1.139792,-0.4410103,1.4535675,
1.2789071,-0.49364156,1.6270399,
1.4445477,-0.556233,1.8333408,
1.6412117,-0.63044053,2.0779285,
1.8653052,-0.7148033,2.3559878,
2.1019125,-0.80354637,2.6484845,
2.3411102,-0.8928537,2.9428408,
2.5698051,-0.9777397,3.2226248,
2.7722323,-1.0522519,3.4682167,
2.9401278,-1.1133351,3.6695464,
3.0698705,-1.1597161,3.822418,
3.1653316,-1.1929582,3.931984,
3.2319832,-1.2152117,4.005331,
3.2771707,-1.2293093,4.0517964,
3.3073304,-1.2377167,4.0795074,
3.3280773,-1.2425705,4.0955057,
3.3437624,-1.2455164,4.105215,
3.3566422,-1.247406,4.111443,
3.3682864,-1.2488286,4.1161323,
3.3794577,-1.2500697,4.120223,
3.3903608,-1.251206,4.1239686,
3.4012353,-1.252327,4.1276627,
3.4120598,-1.253424,4.1312785,
3.4228904,-1.2545184,4.134886,
3.433694,-1.2555977,4.1384435,
3.4444957,-1.2566717,4.141983,
3.4553018,-1.2577423,4.1455116,
3.4661407,-1.2588199,4.1490636,
3.4769828,-1.2598938,4.152603,
3.4878561,-1.260974,4.1561637,
3.498862,-1.2620974,4.159866,
3.5101407,-1.2633137,4.163875,
3.5214274,-1.2645274,4.167876,
3.5328255,-1.2657757,4.17199,
3.5444224,-1.2670895,4.17632,
3.5560462,-1.268407,4.1806626,
3.5677772,-1.2697567,4.185111,
3.5797105,-1.2711723,4.189777,
3.591617,-1.2725722,4.194391,
3.6035316,-1.2739687,4.1989937,
3.615623,-1.2754213,4.2037816,
3.6276965,-1.2768612,4.2085276,
3.63961,-1.2782388,4.213068,
3.6516056,-1.2796389,4.217683,
3.6636772,-1.2810596,4.2223654,
3.6754928,-1.2823846,4.2267327,
3.6872587,-1.2836868,4.2310243,
3.6989093,-1.2849431,4.235165,
3.710505,-1.2861749,4.2392254,
3.7221396,-1.2874149,4.2433124,
3.733754,-1.2886425,4.2473583,
3.7454908,-1.289907,4.2515264,
3.7572017,-1.2911571,4.2556467,
3.7691288,-1.292476,4.259994,
3.7811687,-1.2938279,4.2644496,
3.7933774,-1.2952317,4.2690763,
3.8057358,-1.2966803,4.2738514,
