col_0,col_1,col_2,col_3
0.23701234,-0.91721195,4.032685,
0.25246257,-0.94642526,4.161126,
0.27061537,-0.98368925,4.324964,
0.28105104,-0.9915327,4.359449,
0.24117656,-0.826514,3.633915,
0.16171753,-0.538792,2.3688943,-3.3164466e+38
0.11193525,-0.36284062,1.595293,-2.6625707e+38
0.10327824,-0.32595757,1.4331301,-2.4490083e+38
0.10533064,-0.32390064,1.4240865,-2.435664e+38
0.10818367,-0.32434708,1.4260492,-2.4490085e+38
0.1140151,-0.33348322,1.466218,-2.4889898e+38
0.1192498,-0.34048003,1.4969808,-2.5157305e+38
0.12285497,-0.34260675,1.5063313,-2.529023e+38
0.12711799,-0.34642956,1.5231389,-2.5423674e+38
0.13592976,-0.362203,1.5924897,-2.5957452e+38
0.14312638,-0.37307984,1.6403115,-2.6357784e+38
0.15095273,-0.3850998,1.6931595,-2.6758116e+38
0.15748319,-0.39338145,1.7295712,-2.7025003e+38
0.1639289,-0.40111732,1.7635833,-2.7158447e+38
0.17245351,-0.41352853,1.8181514,-2.7425335e+38
0.19023651,-0.4472176,1.9662714,-2.8093074e+38
0.20751257,-0.47844097,2.1035504,-2.8759775e+38
0.21771234,-0.49247807,2.165267,-2.8760295e+38
0.23291944,-0.5171117,2.2735732,-2.9027185e+38
0.25813442,-0.5626633,2.4738488,-2.9561484e+38
0.2773108,-0.5936593,2.6101282,-2.9961295e+38
0.2934897,-0.61726254,2.7139041,-3.0228181e+38
0.3084345,-0.6375005,2.8028839,-3.0362147e+38
0.32185328,-0.65395135,2.8752127,-3.0629033e+38
0.33956018,-0.6784207,2.9827967,-3.089592e+38
0.35397112,-0.69561005,3.0583727,-3.1162809e+38
0.36146903,-0.6988785,3.0727432,-3.1162809e+38
0.38158128,-0.72604483,3.1921844,-3.1696585e+38
0.39016324,-0.73076564,3.2129405,-3.1963473e+38
0.40269873,-0.74263185,3.2651124,-3.223036e+38
0.40536234,-0.7362092,3.2368743,-3.2363803e+38
0.42430437,-0.75910133,3.3375235,-3.2764136e+38
0.44135427,-0.7779844,3.420546,-3.3164466e+38
0.4418824,-0.7676189,3.374972,-3.3298429e+38
0.46624672,-0.7983649,3.5101526,-3.396565e+38
0.49418244,-0.8342735,3.668031,
0.49813053,-0.829251,3.645949,
0.5022813,-0.82469916,3.6259358,
0.51915765,-0.840882,3.6970866,
0.5333559,-0.8523531,3.7475212,
0.557399,-0.8790481,3.8648906,
0.5882763,-0.9156871,4.0259805,
0.6179886,-0.94959587,4.1750665,
0.6578642,-0.9980649,4.388169,
0.689701,-1.0332778,4.542989,
0.71277785,-1.0546594,4.6369967,
0.75034034,-1.0966911,4.8217964,
0.7793527,-1.1253632,4.947859,
0.79445285,-1.133503,4.983646,
0.82708764,-1.1661742,5.127291,
0.8390245,-1.1692414,5.1407766,
0.84627986,-1.165789,5.1255975,
0.8688837,-1.183318,5.2026668,
0.91703403,-1.2348528,5.4292493,
0.9383914,-1.2495644,5.4939313,
0.95048076,-1.2517469,5.5035267,
0.9796787,-1.2761681,5.610899,
1.0154206,-1.3084967,5.7530375,
1.0258485,-1.3078642,5.7502565,
1.0644896,-1.3428351,5.904012,
1.0737158,-1.3403578,5.8931203,
1.0938122,-1.351361,5.941498,
1.0984675,-1.3432575,5.9058695,
1.1236951,-1.3602204,5.9804497,
1.133596,-1.3584766,5.9727826,
1.1573797,-1.3732395,6.0376906,
1.1663334,-1.3702894,6.02472,
1.16625,-1.3568823,5.9657736,
1.187727,-1.3685764,6.0171885,
1.1910937,-1.3593788,5.97675,
1.2253582,-1.3852853,6.090652,
1.2209965,-1.367448,6.012227,
1.224736,-1.35893,5.9747763,
1.2389807,-1.3621176,5.988791,
1.2442786,-1.3555008,5.959699,
1.2479305,-1.3472263,5.923319,
1.2520719,-1.3396231,5.88989,
1.2514083,-1.3270594,5.8346515,
1.2717785,-1.3368257,5.8775907,
1.2857801,-1.3397859,5.890606,
1.3000824,-1.3430057,5.9047623,
1.2969859,-1.3283509,5.8403296,
1.3164392,-1.336844,5.877671,
1.3406402,-1.349975,5.935404,
1.3558747,-1.3539332,5.952807,
1.3749138,-1.361594,5.986489,
