col_0,col_1,col_2,col_3
1.0519178,0.055981502,4.736143,-2.8222882e+38
1.061684,0.05602222,4.739588,-2.8622693e+38
1.0712444,0.056051474,4.742063,-2.8890102e+38
1.080964,0.05608851,4.7451963,-2.9557324e+38
1.0901392,0.056096915,4.7459073,-2.995818e+38
1.0989276,0.056085445,4.744937,-3.0092145e+38
1.10747,0.05606171,4.742929,-2.9959222e+38
1.1163515,0.056055382,4.7423935,-3.022611e+38
1.124933,0.05603421,4.7406025,-3.0359554e+38
1.132865,0.055981282,4.7361245,-2.9692334e+38
1.1411655,0.055947255,4.733246,-2.955837e+38
1.1497451,0.055927332,4.73156,-2.9692334e+38
1.1571618,0.055851597,4.725153,-2.8892193e+38
1.1644136,0.05576912,4.718175,-2.8358936e+38
1.1712227,0.055666864,4.709524,-2.7559312e+38
1.1782619,0.05557701,4.7019224,-2.715898e+38
1.1854597,0.05549594,4.6950636,-2.7425864e+38
1.1925042,0.05540895,4.687704,-2.7693273e+38
1.199185,0.05530648,4.679035,-2.8225488e+38
1.2049289,0.055162624,4.6668644,-2.8759785e+38
1.2095451,0.05496962,4.650536,-2.9828376e+38
1.2141792,0.05478022,4.6345124,-3.262966e+38
1.2219946,0.054736044,4.630775,
1.2324415,0.054809537,4.6369925,
1.2436095,0.05491381,4.6458144,
1.2539066,0.05497844,4.6512823,
1.2630439,0.05499167,4.6524014,
1.2716674,0.0549825,4.6516256,
1.2797302,0.05494938,4.6488237,
1.2869885,0.05488241,4.643158,
1.2906694,0.054664835,4.6247506,
1.2934524,0.054412425,4.603396,
1.3011512,0.05436881,4.599706,
1.3056844,0.054194383,4.5849495,
1.2968456,0.05347092,4.523743,
1.2971973,0.053133436,4.495191,
1.302871,0.053016916,4.4853334,
1.3061203,0.0528039,4.467312,
1.3064678,0.052477077,4.439662,
1.3072315,0.052171055,4.413772,
1.3066015,0.05181367,4.3835363,-3.2887169e+38
1.3093592,0.051594295,4.364977,-2.7149076e+38
1.3208332,0.051718973,4.375525,-2.701408e+38
1.3328972,0.051865056,4.3878837,-2.6480304e+38
1.3445009,0.051991526,4.3985834,-2.78137e+38
1.3572093,0.05215889,4.4127426,-2.7813702e+38
1.3691944,0.052296564,4.4243903,-2.7279922e+38
1.389599,0.052752186,4.462937,-2.514482e+38
1.401985,0.052899733,4.4754195,-2.4877931e+38
1.4107629,0.05291017,4.4763026,-2.514482e+38
1.4196603,0.05292495,4.477553,-2.5279304e+38
1.4297422,0.052983437,4.482501,-2.5012416e+38
1.4399805,0.053046998,4.4878783,-2.4613118e+38
1.4485295,0.053047944,4.4879584,-2.461312e+38
1.4569459,0.053044047,4.487629,-2.4480714e+38
1.4656662,0.0530512,4.488234,-2.4213826e+38
1.4731668,0.053014386,4.4851193,-2.4214865e+38
1.4786108,0.052904394,4.475814,-2.4214343e+38
1.4838665,0.052788977,4.466049,-2.39485e+38
1.4903497,0.052718278,4.460068,-2.461624e+38
1.50505,0.052937403,4.4786067,-2.6618411e+38
1.5534073,0.05433125,4.5965285,-3.1288432e+38
1.6047702,0.05581404,4.7219753,
1.6267769,0.056265015,4.760129,
1.6381947,0.05634679,4.7670474,
1.6589582,0.05674736,4.800936,
1.6821191,0.057225104,4.8413544,
1.6957326,0.057374626,4.854004,
1.7053416,0.057387765,4.855116,
