col_0,col_1,col_2,col_3
1.3858804,-0.09700857,4.7401147,-2.3417861e+38
1.3941033,-0.096954376,4.7374663,-2.3417861e+38
1.402265,-0.09689664,4.7346454,-2.368475e+38
1.4103717,-0.096835874,4.731676,-2.4085082e+38
1.4184289,-0.0967725,4.7285795,-2.3818193e+38
1.4263934,-0.09670363,4.7252145,-2.3551305e+38
1.4343113,-0.096632496,4.7217383,-2.3551305e+38
1.4421643,-0.09655789,4.718093,-2.3417861e+38
1.4499928,-0.096482575,4.7144127,-2.3417861e+38
1.4577851,-0.09640579,4.710661,-2.3551305e+38
1.4655778,-0.09632997,4.7069564,-2.3818193e+38
1.4733658,-0.096254766,4.7032814,-2.368527e+38
1.4811894,-0.09618277,4.6997633,-2.3552348e+38
1.4890482,-0.09611391,4.696399,-2.368475e+38
1.4969972,-0.09605167,4.6933575,-2.368475e+38
1.5050418,-0.09599625,4.69065,-2.368475e+38
1.5131327,-0.09594443,4.6881175,-2.368475e+38
1.5213672,-0.095902264,4.686057,-2.3684747e+38
1.5296587,-0.095864154,4.684195,-2.3551303e+38
1.5380561,-0.095833085,4.6826773,-2.395215e+38
1.5467601,-0.09582138,4.682105,-2.3818707e+38
1.5555819,-0.09581706,4.681894,-2.3819224e+38
1.5638548,-0.09577915,4.680042,-2.3418892e+38
1.5727202,-0.09577777,4.6799746,-2.368578e+38
1.5891932,-0.09623711,4.702419,-2.5820885e+38
1.633095,-0.09834304,4.8053203,-3.3828554e+38
1.6763101,-0.10038442,4.9050684,
1.7189605,-0.10236963,5.0020714,
1.731528,-0.10255133,5.0109496,
1.7411578,-0.102558,5.0112753,
1.7512603,-0.10259229,5.012951,
1.7610694,-0.10260911,5.013773,
1.7704104,-0.10259863,5.013261,
1.7796881,-0.10258461,5.0125756,
1.7888958,-0.102566734,5.011702,
1.7980018,-0.10254323,5.010554,
1.8070226,-0.102515146,5.0091815,
1.8159719,-0.102483325,5.0076265,
1.8248096,-0.10244557,5.0057817,
1.8335916,-0.10240509,5.003804,
1.8423307,-0.102362655,5.0017304,
1.8509916,-0.102316335,4.999467,
1.8595507,-0.10226487,4.9969525,
1.8680776,-0.102212176,4.9943776,
1.8765193,-0.10215539,4.9916024,
1.8849105,-0.10209642,4.9887214,
1.8932643,-0.10203602,4.98577,
1.9015372,-0.1019719,4.982637,
1.9097065,-0.10190288,4.9792643,
1.9179294,-0.10183739,4.976064,
1.9258572,-0.101756945,4.9721336,
1.933684,-0.10167198,4.967982,
1.941599,-0.101592444,4.9640956,
1.9494451,-0.1015101,4.960072,
1.9573624,-0.10143222,4.956267,
1.965201,-0.10135105,4.9523005,
1.9728453,-0.10126068,4.9478846,
1.9803993,-0.10116654,4.9432845,
1.9878545,-0.101068266,4.9384828,
1.9952458,-0.10096768,4.933568,
2.002479,-0.1008601,4.928311,
2.0097182,-0.10075378,4.923116,
2.01688,-0.1006446,4.9177814,
2.0238786,-0.10052832,4.9121,
2.0307057,-0.100404635,4.906056,
2.0374365,-0.10027733,4.899835,
2.0440252,-0.100144215,4.893331,
2.0504532,-0.10000448,4.886503,
2.0568902,-0.09986644,4.8797584,
2.063275,-0.09972711,4.87295,
2.0694737,-0.09958008,4.8657656,
2.0756636,-0.099433914,4.858624,
2.0817332,-0.099283315,4.851265,
2.087751,-0.09913159,4.843851,
2.0936804,-0.098977014,4.8362985,
2.0995848,-0.098822616,4.828754,
2.1053967,-0.09866522,4.821063,
2.1111517,-0.098506525,4.8133087,
2.1168168,-0.098345034,4.805418,
2.1225994,-0.09819036,4.79786,
2.1282449,-0.098030694,4.7900586,
2.1338308,-0.097869664,4.78219,
2.1394386,-0.09771098,4.7744365,
2.1451657,-0.09755907,4.7670135,
2.1508684,-0.09740733,4.759599,
2.1564806,-0.09725278,4.752047,
2.162108,-0.0971002,4.7445917,
2.1677918,-0.09695142,4.737322,
2.1734555,-0.09680296,4.7300677,
2.179182,-0.09665851,4.7230096,
2.1849124,-0.09651543,4.716018,
2.1906853,-0.096375376,4.7091746,
2.1963723,-0.09623269,4.702203,
2.2021406,-0.096094705,4.695461,
2.2079022,-0.09595756,4.6887593,
2.2134862,-0.095813826,4.681736,
2.2191548,-0.09567488,4.674947,
2.224879,-0.095539436,4.6683283,
2.2305396,-0.095402345,4.6616297,
2.2361915,-0.09526596,4.654966,
2.2418091,-0.09512921,4.6482835,
2.2474139,-0.09499297,4.641627,
2.2529197,-0.094853655,4.634819,
2.2583673,-0.09471296,4.6279445,
2.263851,-0.09457486,4.6211967,
2.2694306,-0.094441846,4.614697,
2.2751353,-0.094315015,4.6085,
2.28123,-0.094205275,4.6031375,
2.2879612,-0.09412255,4.5990953,
2.2958035,-0.09408599,4.597309,
2.3032384,-0.09403307,4.594723,
2.3088439,-0.09390615,4.5885215,
2.3086085,-0.09354352,4.570802,
2.297034,-0.09272587,4.5308495,
2.2802415,-0.09170447,4.4809413,
2.260264,-0.09056304,4.4251676,
2.2445154,-0.0895989,4.378057,-3.3425616e+38
2.2500021,-0.08948643,4.3725615,-3.3292172e+38
2.248818,-0.08911045,4.35419,-3.2358063e+38
2.253205,-0.08895719,4.346701,-3.15574e+38
2.2608032,-0.08893134,4.345438,-3.1423955e+38
2.2699258,-0.088965446,4.3471045,-3.1423955e+38
2.2780914,-0.088961914,4.346932,-3.1423955e+38
2.2829747,-0.08883071,4.340521,-3.1957731e+38
2.287145,-0.088672794,4.3328047,-3.2624952e+38
2.2865446,-0.088331714,4.3161387,
2.2916706,-0.08821351,4.310363,
2.2991521,-0.08818649,4.3090425,
2.3060467,-0.088137224,4.3066354,
2.3128793,-0.08808594,4.3041296,
2.3200607,-0.08804827,4.302289,
2.3276322,-0.088025615,4.301182,
2.3306534,-0.08783163,4.291703,-3.3159255e+38
2.3267853,-0.08738028,4.269649,-3.1557926e+38
2.3241394,-0.08697781,4.249983,-3.0623818e+38
2.3285177,-0.08684008,4.243253,-3.0623818e+38
2.3365786,-0.08684017,4.2432575,-3.0890708e+38
2.331975,-0.08637118,4.2203417,-2.9422824e+38
2.3223326,-0.08571943,4.188495,-2.702083e+38
2.3239274,-0.08548549,4.177064,-2.5686913e+38
2.3315432,-0.085473865,4.176496,-2.5553473e+38
2.340249,-0.08550215,4.177878,-2.541951e+38
2.3524768,-0.08565848,4.185517,-2.6486022e+38
2.3688028,-0.085962474,4.200371,-3.0089011e+38
2.3808682,-0.08611034,4.207596,-3.2491522e+38
2.3890865,-0.086118534,4.2079964,-3.0089529e+38
2.400908,-0.08625613,4.21472,-2.7554092e+38
2.4109387,-0.086328685,4.218265,-2.5685875e+38
2.4186182,-0.08631686,4.217687,-2.4618837e+38
2.4335704,-0.08656379,4.229753,-2.6487054e+38
2.469635,-0.087557614,4.278314,-3.3426145e+38
2.4772863,-0.08754087,4.277496,-3.262548e+38
2.4827886,-0.087448545,4.2729845,-3.1422923e+38
2.4919457,-0.087485135,4.274772,-3.1422923e+38
2.5007586,-0.08750944,4.27596,-3.1823772e+38
2.5087945,-0.08750647,4.275815,-3.1957216e+38
2.5170329,-0.087510586,4.2760158,-3.1957731e+38
2.5255237,-0.08752341,4.2766423,-3.2091175e+38
2.5343454,-0.08754756,4.277823,-3.2491507e+38
2.5438309,-0.08759445,4.2801137,-3.3158728e+38
2.554487,-0.087681204,4.284353,-3.3825948e+38
2.5684536,-0.08788067,4.2940993,-3.3959392e+38
2.579708,-0.08798638,4.299265,-3.3693025e+38
2.589709,-0.08804881,4.302315,-3.342666e+38
2.6261244,-0.089006096,4.3490906,-3.3693547e+38
2.7323618,-0.092316404,4.510842,
2.8314502,-0.095365226,4.6598163,
2.875119,-0.09653431,4.716941,
2.883088,-0.09650121,4.7153234,
2.8937707,-0.096558854,4.71814,
2.9033926,-0.09658086,4.7192154,
2.910892,-0.09653234,4.7168446,
2.9188662,-0.0964998,4.715255,
2.9264152,-0.09645347,4.7129908,
2.9355214,-0.096458584,4.7132406,
2.9470625,-0.09654343,4.7173862,
2.9612858,-0.09671535,4.725787,
2.9761522,-0.09690719,4.735161,
2.9970999,-0.097295284,4.754124,
3.0465922,-0.09860491,4.818116,
3.102582,-0.100116365,4.89197,
3.1415434,-0.10107094,4.9386134,
3.1667008,-0.101577066,4.963344,
3.188253,-0.10196486,4.982293,
3.2041028,-0.102168545,4.9922457,
3.2156672,-0.10223479,4.9954824,
3.2250514,-0.10223152,4.9953227,
3.2305124,-0.10210428,4.989105,
3.2324507,-0.101866774,4.9775,
3.2305,-0.101508446,4.959991,
3.224459,-0.10102405,4.936322,
3.2157168,-0.10045808,4.9086676,
3.20364,-0.099791504,4.8760967,
3.188255,-0.09902603,4.8386936,
3.1722727,-0.098246455,4.800601,
3.1614177,-0.09762969,4.770464,
3.1488235,-0.096962884,4.737882,
3.1387296,-0.09637666,4.7092376,
3.1321454,-0.09590123,4.6860065,
3.128954,-0.095532075,4.6679688,
3.1278398,-0.09522825,4.653123,
3.1288004,-0.09498912,4.6414385,
3.1314428,-0.09480225,4.6323075,
3.1360216,-0.0946749,4.626085,
3.1417549,-0.09458301,4.621595,
3.1488907,-0.094533734,4.619187,
3.1557996,-0.094477944,4.616461,
3.1633227,-0.0944408,4.614646,
3.1706614,-0.09439837,4.6125727,
3.1793094,-0.09439504,4.61241,
3.1888242,-0.0944174,4.6135025,
3.1991866,-0.09446466,4.615812,
3.2095873,-0.0945128,4.618164,
3.219865,-0.094557054,4.6203265,
3.2305012,-0.09461158,4.6229906,
3.2416158,-0.09467977,4.6263227,
3.2527795,-0.094749026,4.629707,
3.2638018,-0.09481381,4.632872,
3.2750943,-0.09488606,4.6364026,
3.2869318,-0.094973676,4.6406837,
3.298431,-0.09505107,4.6444654,
3.3103504,-0.09514014,4.6488175,
3.322601,-0.09523822,4.65361,
3.3347802,-0.09533374,4.6582775,
3.347145,-0.09543405,4.663179,
3.3597167,-0.09553971,4.6683416,
3.3726616,-0.09565539,4.6739945,
3.3858852,-0.09577836,4.680003,
3.3993926,-0.095908694,4.6863713,
3.413149,-0.09604535,4.693049,
3.4272747,-0.09619166,4.7001977,
3.4414616,-0.09633891,4.707393,
3.4560761,-0.09649736,4.715135,
3.4726546,-0.09670967,4.725509,
3.533116,-0.09813983,4.795391,
3.5874488,-0.09939284,4.8566165,
3.687135,-0.10189274,4.978769,
2.6319659,-0.07254746,3.544875,
1.5875328,-0.043647077,2.1327202,-3.1028892e+38
1.3904524,-0.03813133,1.8632052,-2.8226571e+38
1.3750728,-0.037613846,1.8379195,-2.7161106e+38
1.3794358,-0.037637647,1.8390825,-2.689474e+38
1.3878949,-0.037772812,1.8456872,-2.6228565e+38
1.3904294,-0.037746463,1.8443995,-2.5828756e+38
1.3927828,-0.03771534,1.8428787,-2.582928e+38
1.3950768,-0.037682764,1.8412869,-2.5828762e+38
1.3973811,-0.037650637,1.839717,-2.5829284e+38
1.3996814,-0.037618555,1.8381495,-2.5830843e+38
1.4020457,-0.037588354,1.8366737,-2.5964285e+38
1.4044398,-0.037559092,1.835244,-2.6231171e+38
1.4070228,-0.037535023,1.8340678,-2.6365137e+38
1.4097561,-0.037515063,1.8330926,-2.6764948e+38
1.4125127,-0.037495825,1.8321526,-2.6764948e+38
1.4152185,-0.037475336,1.8311515,-2.703027e+38
1.4180783,-0.03745902,1.8303541,-2.6630457e+38
1.4208903,-0.037441522,1.8294991,-2.662731e+38
1.3856162,-0.08798962,4.739211,-2.3150973e+38
1.3938093,-0.087938674,4.7364674,-2.3284417e+38
1.4019281,-0.08788373,4.733508,-2.368475e+38
1.4099933,-0.087826155,4.7304068,-2.4085082e+38
1.4179915,-0.08776516,4.7271214,-2.368475e+38
1.4258921,-0.08769892,4.7235537,-2.3551305e+38
1.4337575,-0.087631375,4.7199154,-2.3551305e+38
1.4415436,-0.08755983,4.716062,-2.3417861e+38
1.4492931,-0.08748698,4.712138,-2.3417861e+38
1.4570276,-0.08741411,4.7082133,-2.3551305e+38
1.4647545,-0.08734167,4.704312,-2.3551305e+38
1.4724736,-0.087269664,4.7004333,-2.3418904e+38
1.4802458,-0.08720164,4.6967697,-2.3418904e+38
1.4880513,-0.08713639,4.693255,-2.3418904e+38
