col_0,col_1,col_2,col_3
-1.5718964,-1.8926986,3.69419,
-1.5656383,-1.893615,3.6959786,
-1.559349,-1.8945017,3.697709,
-1.5531008,-1.8954467,3.6995537,
-1.5468566,-1.8964052,3.7014246,
-1.5404675,-1.8971939,3.7029638,
-1.534675,-1.8987279,3.7059581,
-1.5306556,-1.9024801,3.7132816,
-1.529231,-1.9095068,3.7269964,
-1.5281789,-1.9170666,3.7417517,
-1.5232285,-1.9197835,3.7470546,
-1.5172093,-1.9211725,3.7497656,
-1.5096204,-1.9205779,3.748605,
-1.5019429,-1.919864,3.7472117,
-1.4937855,-1.9185271,3.7446022,
-1.4851619,-1.9165759,3.740794,
-1.4759479,-1.9138403,3.7354546,
-1.4657145,-1.90975,3.727471,
-1.455093,-1.9051119,3.7184184,
-1.4441103,-1.8999535,3.7083502,
-1.4325683,-1.894005,3.6967397,
-1.4192924,-1.8856941,3.6805186,
-1.409806,-1.8823607,3.6740124,
-1.4016743,-1.8808119,3.6709893,
-1.394008,-1.8798753,3.6691613,
-1.3865001,-1.879144,3.667734,
-1.3791939,-1.8786799,3.6668282,
-1.3718759,-1.8781953,3.665882,
-1.3646176,-1.8777874,3.665086,
-1.3573755,-1.8773983,3.6643264,
-1.3501536,-1.8770328,3.663613,
-1.3429493,-1.8766881,3.6629405,
-1.3357725,-1.8763788,3.6623366,
-1.3286192,-1.8760992,3.661791,
-1.3214785,-1.8758345,3.6612744,
-1.314353,-1.8755888,3.6607947,
-1.3072449,-1.8753653,3.6603587,
-1.3001417,-1.8751466,3.659932,
-1.2930359,-1.8749219,3.6594932,
-1.2859397,-1.8747085,3.6590767,
-1.2788397,-1.8744874,3.6586452,
-1.2717291,-1.8742484,3.6581786,
-1.2646106,-1.873995,3.6576838,
-1.2574955,-1.8737435,3.6571932,
-1.250374,-1.8734797,3.6566782,
-1.2432487,-1.8732076,3.656147,
-1.2361314,-1.8729445,3.6556337,
-1.2290196,-1.8726865,3.6551301,
-1.2219156,-1.8724375,3.6546443,
-1.2148207,-1.8722003,3.654181,
-1.2077279,-1.8719629,3.653718,
-1.2006512,-1.8717481,3.6532984,
-1.1935911,-1.871557,3.6529255,
-1.1865442,-1.8713843,3.6525886,
-1.1795126,-1.871234,3.6522954,
-1.1724975,-1.8711082,3.6520495,
-1.1654886,-1.8709908,3.6518204,
-1.1584872,-1.8708842,3.6516123,
-1.1514921,-1.8707864,3.6514215,
-1.1445074,-1.8707045,3.6512618,
-1.1375315,-1.870636,3.6511278,
-1.130566,-1.870584,3.6510265,
-1.1236135,-1.8705528,3.6509655,
-1.1166706,-1.8705374,3.6509356,
-1.1097301,-1.870526,3.6509132,
-1.1028059,-1.8705418,3.6509442,
-1.095896,-1.8705827,3.6510239,
-1.0889951,-1.870639,3.6511338,
-1.0821114,-1.8707259,3.6513035,
-1.075247,-1.8708478,3.6515415,
-1.0683882,-1.870981,3.651801,
-1.0615368,-1.8711289,3.65209,
-1.0547014,-1.8713071,3.652438,
-1.047867,-1.8714893,3.6527934,
-1.0410323,-1.8716738,3.6531537,
-1.0342003,-1.8718655,3.6535277,
-1.027362,-1.8720481,3.6538842,
-1.0205119,-1.8722117,3.6542034,
-1.013644,-1.8723445,3.6544628,
-1.0067575,-1.8724449,3.6546583,
-0.99985117,-1.8725094,3.6547844,
-0.99292535,-1.8725379,3.65484,
-0.985986,-1.8725412,3.6548464,
-0.9790281,-1.872509,3.6547837,
-0.97205776,-1.8724525,3.6546733,
-0.9650795,-1.8723798,3.6545315,
-0.9580951,-1.8722938,3.6543636,
-0.95110184,-1.8721894,3.65416,
-0.94411874,-1.8721036,3.6539924,
-0.937135,-1.8720151,3.6538198,
-0.93015724,-1.8719374,3.653668,
-0.9231746,-1.8718487,3.6534948,
-0.9161854,-1.871745,3.6532927,
-0.9091798,-1.8716062,3.6530216,
-0.9021662,-1.8714486,3.652714,
-0.89512825,-1.8712376,3.6523023,
-0.8880859,-1.8710142,3.6518662,
-0.8810426,-1.870785,3.651419,
-0.8740172,-1.8705907,3.6510394,
-0.86701655,-1.8704466,3.6507583,
-0.86005175,-1.8703781,3.6506248,
-0.8531263,-1.870395,3.6506574,
-0.8462519,-1.8705248,3.6509109,
-0.8394149,-1.8707402,3.6513312,
-0.83262014,-1.871054,3.651944,
-0.8258701,-1.8714744,3.6527643,
-0.81916517,-1.872005,3.6538,
-0.81248516,-1.8726022,3.6549656,
-0.8058356,-1.8732805,3.6562896,
-0.79920304,-1.8740102,3.657714,
-0.79257816,-1.8747711,3.659199,
-0.7859521,-1.8755425,3.6607046,
-0.7793262,-1.8763283,3.6622384,
-0.772696,-1.8771176,3.663779,
-0.7660577,-1.8779018,3.6653092,
-0.7594167,-1.8786931,3.666854,
-0.75276667,-1.8794767,3.6683834,
-0.74611,-1.8802584,3.669909,
-0.73944867,-1.8810428,3.6714401,
-0.7327874,-1.8818423,3.6730003,
-0.7261229,-1.882649,3.6745749,
-0.71946156,-1.8834792,3.6761954,
-0.7128065,-1.8843427,3.6778808,
-0.7061575,-1.8852391,3.6796305,
-0.699515,-1.8861712,3.6814497,
-0.6928829,-1.8871503,3.6833608,
-0.686273,-1.8882107,3.6854303,
-0.67967886,-1.8893365,3.6876278,
-0.673112,-1.8905625,3.6900208,
-0.6665825,-1.8919202,3.6926708,
-0.6600923,-1.8934196,3.6955972,
-0.6536404,-1.8950623,3.6988034,
-0.6472402,-1.8968924,3.7023754,
-0.64088774,-1.8989038,3.7063015,
-0.63458645,-1.9011132,3.7106137,
-0.6283328,-1.9035165,3.7153046,
-0.62212235,-1.9061072,3.720361,
-0.6159407,-1.9088463,3.725707,
-0.60977167,-1.9116888,3.7312553,
-0.60360354,-1.9146007,3.7369387,
-0.5974245,-1.9175471,3.7426896,
-0.59121776,-1.9204744,3.748403,
-0.5849717,-1.9233439,3.7540038,
-0.57866216,-1.9260727,3.7593298,
-0.57228965,-1.9286578,3.7643754,
-0.5658275,-1.9310019,3.768951,
-0.5592922,-1.9331535,3.7731504,
-0.55269194,-1.9351337,3.7770152,
-0.54600936,-1.9368737,3.7804115,
-0.5392664,-1.9384433,3.783475,
-0.53246325,-1.9398357,3.7861927,
-0.52561104,-1.9410849,3.788631,
-0.5187122,-1.9421947,3.790797,
-0.5117446,-1.9430743,3.7925138,
-0.50472975,-1.943797,3.7939243,
-0.49761382,-1.9441462,3.7946057,
-0.4905533,-1.9447248,3.7957351,
-0.4834875,-1.9452996,3.796857,
-0.47583374,-1.9434904,3.793326,
-0.46773764,-1.939791,3.7861054,
