col_0,col_1,col_2,col_3
1.0266191,-0.4018372,4.622239,
1.0353377,-0.40181398,4.621972,
1.0437509,-0.40167367,4.620358,
1.0519062,-0.40143734,4.6176395,
1.0600674,-0.40120703,4.61499,
1.06807,-0.40092105,4.6117005,
1.078159,-0.40141648,4.6173997,
1.0877595,-0.40172353,4.6209316,
1.0957896,-0.40145028,4.6177883,
1.1040201,-0.4012543,4.615534,
1.1124673,-0.4011395,4.6142135,
1.1207579,-0.40097043,4.612269,
1.1288136,-0.40072066,4.6093955,
1.1368852,-0.40048024,4.6066303,
1.1453996,-0.40039837,4.6056886,
1.1542432,-0.40043196,4.606075,
1.1630912,-0.40046647,4.606472,
1.1716157,-0.40039,4.6055923,
1.1799881,-0.40026307,4.604132,
1.1885415,-0.40019888,4.603394,
1.1968102,-0.40004054,4.6015725,
1.2054409,-0.40000454,4.601158,
1.2140274,-0.39995453,4.600583,
1.2227194,-0.39993975,4.6004133,
1.2314708,-0.39994445,4.600467,
1.2401419,-0.39992324,4.600223,
1.2488811,-0.3999241,4.600233,
1.2576327,-0.39992893,4.6002884,
1.2663736,-0.39993027,4.600304,
1.2751071,-0.39992926,4.6002927,
1.2838744,-0.39993876,4.600402,
1.292623,-0.39994246,4.6004443,
1.3013982,-0.3999542,4.6005793,
1.310201,-0.39997426,4.60081,
1.319002,-0.39999348,4.6010313,
1.327826,-0.40001935,4.601329,
1.3366517,-0.40004545,4.601629,
1.3454794,-0.4000717,4.601931,
1.3543258,-0.4001032,4.6022935,
1.3631957,-0.40014124,4.6027308,
1.3720531,-0.40017515,4.603121,
1.3809367,-0.4002162,4.603593,
1.3899295,-0.40028813,4.6044207,
1.398773,-0.40031645,4.6047463,
1.4077579,-0.4003847,4.605531,
1.4168538,-0.4004834,4.6066666,
1.4258747,-0.40055987,4.6075463,
1.4349713,-0.40065655,4.6086583,
1.444133,-0.40077007,4.6099644,
1.453347,-0.4008967,4.6114206,
1.4626199,-0.40103793,4.613045,
1.4719379,-0.4011898,4.6147923,
1.4813223,-0.40135783,4.616725,
1.4907148,-0.40152606,4.6186604,
1.5001653,-0.40170795,4.6207523,
1.5097862,-0.40193295,4.6233406,
1.5194285,-0.4021611,4.6259646,
1.5290995,-0.40239415,4.6286454,
1.5390005,-0.40268475,4.631988,
1.5489069,-0.40297338,4.6353083,
1.5589461,-0.40329316,4.6389866,
1.5691504,-0.4036518,4.643112,
1.5794244,-0.40402424,4.647396,
1.5897615,-0.40440863,4.651818,
1.6002357,-0.40482345,4.656589,
1.0264428,-0.3929914,4.621445,
1.035198,-0.39298317,4.6213484,
1.0435834,-0.39283586,4.6196165,
1.0518813,-0.3926584,4.61753,
1.0612094,-0.3928653,4.6199627,
1.0705752,-0.39308256,4.6225176,
1.0858961,-0.39546505,4.6505346,-3.1156564e+38
1.0979469,-0.39662784,4.664209,-2.9555231e+38
1.1065391,-0.39653257,4.6630883,-3.0756215e+38
1.115712,-0.39664528,4.664414,-3.1423436e+38
1.1242722,-0.3965401,4.663177,-3.2623911e+38
1.1316144,-0.39601034,4.656947,
1.1397489,-0.3957639,4.654049,
1.1472113,-0.39528963,4.648472,
1.1538781,-0.3945506,4.639781,
1.1623542,-0.39443675,4.6384425,
1.1700827,-0.39407283,4.6341624,
1.1770773,-0.39346898,4.627062,
1.1844184,-0.39298907,4.621418,
1.1924143,-0.3927319,4.618394,
1.1992804,-0.39210907,4.6110697,
1.2073885,-0.39189842,4.6085925,
1.2145989,-0.3914015,4.602749,
1.2223045,-0.39107016,4.598852,
1.2305771,-0.39092362,4.597129,
1.2388285,-0.3907725,4.5953517,
1.2475861,-0.39078197,4.5954633,
1.2563083,-0.39078033,4.5954437,
1.2649814,-0.39076352,4.5952463,
1.2737468,-0.39077532,4.595385,
1.2824924,-0.39078087,4.5954504,
1.2913076,-0.39080745,4.5957627,
1.3001415,-0.39083922,4.5961366,
1.3090842,-0.39090312,4.596888,
1.3179646,-0.3909477,4.597412,
1.326956,-0.3910244,4.5983143,
1.3358843,-0.39108163,4.598987,
1.3447834,-0.39112952,4.5995507,
1.3537667,-0.39120123,4.600394,
1.3627429,-0.39126998,4.601202,
1.3717791,-0.39135495,4.6022015,
1.3808297,-0.39144295,4.603236,
1.389789,-0.39150408,4.6039553,
1.3989177,-0.39161187,4.6052227,
1.4079306,-0.39168617,4.6060963,
1.416968,-0.39176625,4.607038,
1.426009,-0.39184636,4.6079803,
1.4351107,-0.39194208,4.6091056,
1.4442759,-0.39205384,4.61042,
1.4534739,-0.39217314,4.611823,
1.4627248,-0.3923052,4.613376,
1.4720839,-0.39246452,4.6152496,
