col_0,col_1,col_2,col_3
1.5621476,-0.29604682,4.756025,-2.7689093e+38
1.569832,-0.29579282,4.751944,-2.7689093e+38
1.5778192,-0.2955985,4.748822,-2.715532e+38
1.5858641,-0.2954171,4.745908,-2.6754985e+38
1.592469,-0.294971,4.7387414,-2.6622058e+38
1.5924315,-0.29330647,4.712001,-2.9424383e+38
1.5900208,-0.2912259,4.678576,
1.5995529,-0.2913437,4.6804686,
1.6138469,-0.29232275,4.696197,
1.6255933,-0.29283214,4.70438,
1.6360096,-0.29309765,4.7086453,
1.6459901,-0.2932826,4.711617,
1.6559871,-0.2934685,4.7146034,
1.6659353,-0.29364377,4.717419,
1.6759604,-0.29383066,4.720422,
1.6862469,-0.29406115,4.7241244,
1.6967033,-0.29431868,4.728262,
1.7072303,-0.29458565,4.732551,
1.7177526,-0.29484907,4.7367826,
1.7284553,-0.2951405,4.7414646,
1.7392157,-0.29543877,4.746256,
1.7500412,-0.29574493,4.7511744,
1.7609876,-0.29606828,4.756369,
1.7718893,-0.2963808,4.76139,
1.782702,-0.2966754,4.766123,
1.7935956,-0.29698038,4.7710223,
1.8043555,-0.2972603,4.7755194,
1.8151752,-0.2975472,4.7801285,
1.826053,-0.29784074,4.7848444,
1.8368078,-0.2981114,4.7891927,
1.8474913,-0.29836786,4.7933125,
1.8581725,-0.2986215,4.797387,
1.8687992,-0.29886386,4.801281,
1.8793385,-0.29909003,4.804914,
1.8897111,-0.2992876,4.808088,
1.9000828,-0.2994831,4.8112288,
1.9103642,-0.29966256,4.8141117,
1.9206067,-0.29983425,4.81687,
1.9308257,-0.30000067,4.819544,
1.9409312,-0.30014798,4.82191,
1.9508795,-0.30026966,4.823865,
1.9608799,-0.30039823,4.8259306,
1.9708768,-0.30052507,4.827968,
1.9807509,-0.30063206,4.829687,
1.9904697,-0.30071464,4.8310137,
2.0001214,-0.30078638,4.832166,
2.0097413,-0.30085263,4.8332305,
2.0192926,-0.30090815,4.834122,
2.028831,-0.3009612,4.834975,
2.0381947,-0.300988,4.835405,
2.0476303,-0.30102506,4.836001,
2.056996,-0.30105168,4.836428,
2.0662708,-0.30106473,4.8366375,
2.0755002,-0.30107108,4.83674,
2.0848217,-0.30109072,4.837055,
2.0940254,-0.3010932,4.8370953,
2.103167,-0.3010868,4.8369927,
2.1122484,-0.30107188,4.8367524,
2.1212747,-0.30104923,4.836389,
2.1301303,-0.3010027,4.8356414,
1.5623915,-0.28705925,4.7567673,-2.7821495e+38
1.5701692,-0.2868298,4.7529655,-2.7821495e+38
1.5780772,-0.28662664,4.7495985,-2.7554605e+38
1.5857853,-0.28638968,4.7456717,-2.7154273e+38
1.5927622,-0.28602406,4.739614,-2.6621018e+38
1.5933155,-0.28451553,4.7146163,-2.902301e+38
1.5906168,-0.2824464,4.68033,
1.599476,-0.2824412,4.6802435,
1.6135542,-0.28335258,4.6953454,
1.6252829,-0.2838436,4.7034817,
1.6359589,-0.2841464,4.7084994,
1.6463201,-0.28439152,4.7125616,
1.6567519,-0.28464615,4.7167807,
